Saving,Investment,Growth
0.086739,0.097278,0.0812
0.114177,0.118885,0.0808
0.09769,0.109438,0.1142
0.151308,0.123959,0.052
0.129564,0.107371,0.1343
0.141047,0.131242,0.0984
0.132903,0.121408,0.0642
0.189011,0.131771,0.0943
0.1469,0.104337,0.1186
0.159606,0.12381,0.1284
0.125265,0.111708,0.1244
0.153841,0.126319,0.0945
0.127466,0.110397,0.0923
0.152504,0.12975,0.1066
0.115568,0.128907,0.1182
0.158958,0.130344,0.1173
0.120489,0.123926,0.0573
0.174099,0.145884,0.0877
0.145868,0.139842,0.1239
0.184227,0.151206,0.0829
0.12527,0.144326,0.1159
0.177516,0.164983,0.0954
0.153171,0.158829,0.083
0.196558,0.165264,0.1202
0.111829,0.147769,0.0772
0.188705,0.189295,0.0822
0.168287,0.166241,0.1216
0.192528,0.203927,0.0812
0.144924,0.139401,0.1044
0.184804,0.193236,0.0898
0.184572,0.178286,0.0886
0.215746,0.206954,0.0659
0.150332,0.149954,0.0727
0.216342,0.177098,0.1215
0.202089,0.180643,0.1041
0.229299,0.210085,0.1249
0.186426,0.160154,0.1263
0.245637,0.185746,0.1523
0.231409,0.205028,0.1349
0.237607,0.232425,0.0881
0.205644,0.174325,0.136
0.269955,0.219805,0.1334
0.241653,0.205837,0.115
0.282792,0.219557,0.141
0.210209,0.163038,0.1335
0.254031,0.224054,0.0939
0.260958,0.218909,0.1403
0.292729,0.203682,0.1075
0.210655,0.168225,0.0597
0.244504,0.217865,0.0243
0.214885,0.245697,-0.0069
0.250356,0.259833,-0.0018
0.165376,0.220764,-0.034
0.22603,0.264967,0.0387
0.214358,0.265007,0.099
0.260221,0.293435,0.1161
0.214705,0.23729,0.1518
0.281894,0.28082,0.1343
0.253017,0.225658,0.1195
0.29377,0.237556,0.1335
0.227105,0.21857,0.1163
0.303112,0.25468,0.1321
0.263352,0.241125,0.0851
0.303067,0.247763,0.1027
0.245327,0.248358,0.1286
0.304662,0.271769,0.1234
0.285742,0.215015,0.1706
0.301532,0.236096,0.1192
0.237161,0.236144,0.1
0.3091,0.282047,0.0904
0.245813,0.227477,0.0674
0.284363,0.253814,0.0646
0.232385,0.225764,0.0731
0.291208,0.307539,0.0759
0.246687,0.255751,0.0712
0.28198,0.262705,0.0728
0.218032,0.270727,0.0663
0.294791,0.303837,0.0638
0.256705,0.234407,0.0768
0.292602,0.270915,0.0521
0.220186,0.20491,0.038
0.288086,0.280624,0.0435
0.254886,0.230147,0.0385
0.286699,0.267812,0.0389
0.226041,0.187911,0.036
0.297841,0.246118,0.0765
0.29869,0.246918,0.1061
0.318685,0.29731,0.1123
0.251571,0.182552,0.1115
0.324076,0.260054,0.1097
0.313394,0.254274,0.0894
0.310729,0.258731,0.0651
0.251978,0.187373,0.0491
0.316298,0.238154,0.0355
0.300709,0.200326,0.0286
0.31171,0.221538,0.0499
0.304888,0.177069,0.0996
0.383847,0.252694,0.0933
0.385881,0.222132,0.1283
0.401023,0.22996,0.1184
0.333382,0.176413,0.1019
0.40766,0.263213,0.1165
0.387989,0.243112,0.1194
0.377115,0.300093,0.0898
0.320295,0.289996,0.0648
0.350931,0.274647,0.0453
0.335907,0.290877,0.0521
0.330235,0.25451,0.0612
0.307794,0.24846,0.1061
0.332368,0.29214,0.1054
0.311239,0.242135,0.0841
0.335074,0.27958,0.1158
0.288437,0.258159,0.0719
0.343275,0.303066,0.056
0.28743,0.2166,0.0604
0.343141,0.282757,0.0859
0.299844,0.257488,0.0637
0.344152,0.293331,0.0817
0.326524,0.28254,0.0886
0.365591,0.291,0.0806
0.310923,0.270928,0.0966
0.330681,0.304183,0.0773
0.310228,0.290139,0.0744
0.34679,0.306926,0.0565
0.297939,0.276179,0.0658
0.327849,0.308656,0.0707
0.304645,0.288742,0.0655
0.33892,0.315253,0.0673
0.291885,0.285165,0.0614
0.32481,0.306,0.079
0.298972,0.283436,0.0707
0.339631,0.316106,0.0912
0.284638,0.273631,0.0737
0.306641,0.3212,0.0633
0.292844,0.294284,0.0691
0.333688,0.296181,0.0504
0.291052,0.273538,0.05
0.303034,0.287148,0.0524
0.29593,0.247509,0.0544
0.336467,0.310366,0.0639
0.296353,0.282337,0.0497
0.304311,0.299742,0.0494
0.291736,0.276065,0.0582
0.34875,0.332664,0.061
0.293369,0.307051,0.0401
0.298499,0.301759,0.034
0.308641,0.295488,0.0405
0.332869,0.332797,0.025
0.295696,0.270944,0.0564
0.301851,0.279674,0.0653
0.29891,0.287955,0.0508
0.345581,0.330544,0.066
0.288447,0.279026,0.0548
0.318577,0.313798,0.0547
0.315614,0.295268,0.0684
0.350002,0.310671,0.0541
0.287935,0.242187,0.0095
0.285244,0.247849,-0.0298
0.267209,0.219759,-0.0411
0.309071,0.22281,-0.0036
0.284762,0.187764,0.0162
0.302625,0.227021,0.065
0.30498,0.250124,0.0679
0.329533,0.235144,0.0602
0.31228,0.213651,0.0469
0.328074,0.242596,-0.0127
0.274505,0.188831,0.0464
0.336784,0.251157,0.0641
0.286038,0.215239,0.0605
0.306417,0.250975,0.0967
0.303604,0.243286,0.0667
0.312527,0.282519,0.0291
0.277233,0.227044,0.0271
0.281041,0.25065,0.0401
0.274883,0.246119,0.0481
0.337488,0.22833,0.0698
0.294411,0.224329,0.0582
0.293528,0.236805,0.0578
0.295654,0.223211,0.0648
0.325785,0.223411,0.0384
0.304005,0.189721,0.0445
0.307066,0.235057,0.057
0.293808,0.217181,0.0708
0.322774,0.207508,0.0651
0.291288,0.202504,0.0688
0.275045,0.204954,0.0538
0.233512,0.199531,-0.008
0.278223,0.185909,-0.0711
0.273534,0.117041,-0.0906
0.286354,0.158814,-0.0685
0.263337,0.162177,-0.0098
0.303381,0.180574,0.0922
0.284653,0.184324,0.0924
0.286732,0.187528,0.0605
0.274985,0.185587,0.0395
0.293024,0.181845,0.0066
