tip,total_bill,sex,smoker,day,time,size
1.01,16.99,Female,No,Sun,Dinner,2
1.66,10.34,Male,No,Sun,Dinner,3
3.5,21.01,Male,No,Sun,Dinner,3
3.31,23.68,Male,No,Sun,Dinner,2
3.61,24.59,Female,No,Sun,Dinner,4
4.71,25.29,Male,No,Sun,Dinner,4
2,8.77,Male,No,Sun,Dinner,2
3.12,26.88,Male,No,Sun,Dinner,4
1.96,15.04,Male,No,Sun,Dinner,2
3.23,14.78,Male,No,Sun,Dinner,2
1.71,10.27,Male,No,Sun,Dinner,2
5,35.26,Female,No,Sun,Dinner,4
1.57,15.42,Male,No,Sun,Dinner,2
3,18.43,Male,No,Sun,Dinner,4
3.02,14.83,Female,No,Sun,Dinner,2
3.92,21.58,Male,No,Sun,Dinner,2
1.67,10.33,Female,No,Sun,Dinner,3
3.71,16.29,Male,No,Sun,Dinner,3
3.5,16.97,Female,No,Sun,Dinner,3
3.35,20.65,Male,No,Sat,Dinner,3
4.08,17.92,Male,No,Sat,Dinner,2
2.75,20.29,Female,No,Sat,Dinner,2
2.23,15.77,Female,No,Sat,Dinner,2
7.58,39.42,Male,No,Sat,Dinner,4
3.18,19.82,Male,No,Sat,Dinner,2
2.34,17.81,Male,No,Sat,Dinner,4
2,13.37,Male,No,Sat,Dinner,2
2,12.69,Male,No,Sat,Dinner,2
4.3,21.7,Male,No,Sat,Dinner,2
3,19.65,Female,No,Sat,Dinner,2
1.45,9.55,Male,No,Sat,Dinner,2
2.5,18.35,Male,No,Sat,Dinner,4
3,15.06,Female,No,Sat,Dinner,2
2.45,20.69,Female,No,Sat,Dinner,4
3.27,17.78,Male,No,Sat,Dinner,2
3.6,24.06,Male,No,Sat,Dinner,3
2,16.31,Male,No,Sat,Dinner,3
3.07,16.93,Female,No,Sat,Dinner,3
2.31,18.69,Male,No,Sat,Dinner,3
5,31.27,Male,No,Sat,Dinner,3
2.24,16.04,Male,No,Sat,Dinner,3
2.54,17.46,Male,No,Sun,Dinner,2
3.06,13.94,Male,No,Sun,Dinner,2
1.32,9.68,Male,No,Sun,Dinner,2
5.6,30.4,Male,No,Sun,Dinner,4
3,18.29,Male,No,Sun,Dinner,2
5,22.23,Male,No,Sun,Dinner,2
6,32.4,Male,No,Sun,Dinner,4
2.05,28.55,Male,No,Sun,Dinner,3
3,18.04,Male,No,Sun,Dinner,2
2.5,12.54,Male,No,Sun,Dinner,2
2.6,10.29,Female,No,Sun,Dinner,2
5.2,34.81,Female,No,Sun,Dinner,4
1.56,9.94,Male,No,Sun,Dinner,2
4.34,25.56,Male,No,Sun,Dinner,4
3.51,19.49,Male,No,Sun,Dinner,2
3,38.01,Male,Yes,Sat,Dinner,4
1.5,26.41,Female,No,Sat,Dinner,2
1.76,11.24,Male,Yes,Sat,Dinner,2
6.73,48.27,Male,No,Sat,Dinner,4
3.21,20.29,Male,Yes,Sat,Dinner,2
2,13.81,Male,Yes,Sat,Dinner,2
1.98,11.02,Male,Yes,Sat,Dinner,2
3.76,18.29,Male,Yes,Sat,Dinner,4
2.64,17.59,Male,No,Sat,Dinner,3
3.15,20.08,Male,No,Sat,Dinner,3
2.47,16.45,Female,No,Sat,Dinner,2
1,3.07,Female,Yes,Sat,Dinner,1
2.01,20.23,Male,No,Sat,Dinner,2
2.09,15.01,Male,Yes,Sat,Dinner,2
1.97,12.02,Male,No,Sat,Dinner,2
3,17.07,Female,No,Sat,Dinner,3
3.14,26.86,Female,Yes,Sat,Dinner,2
5,25.28,Female,Yes,Sat,Dinner,2
2.2,14.73,Female,No,Sat,Dinner,2
1.25,10.51,Male,No,Sat,Dinner,2
3.08,17.92,Male,Yes,Sat,Dinner,2
4,27.2,Male,No,Thur,Lunch,4
3,22.76,Male,No,Thur,Lunch,2
2.71,17.29,Male,No,Thur,Lunch,2
3,19.44,Male,Yes,Thur,Lunch,2
3.4,16.66,Male,No,Thur,Lunch,2
1.83,10.07,Female,No,Thur,Lunch,1
5,32.68,Male,Yes,Thur,Lunch,2
2.03,15.98,Male,No,Thur,Lunch,2
5.17,34.83,Female,No,Thur,Lunch,4
2,13.03,Male,No,Thur,Lunch,2
4,18.28,Male,No,Thur,Lunch,2
5.85,24.71,Male,No,Thur,Lunch,2
3,21.16,Male,No,Thur,Lunch,2
3,28.97,Male,Yes,Fri,Dinner,2
3.5,22.49,Male,No,Fri,Dinner,2
1,5.75,Female,Yes,Fri,Dinner,2
4.3,16.32,Female,Yes,Fri,Dinner,2
3.25,22.75,Female,No,Fri,Dinner,2
4.73,40.17,Male,Yes,Fri,Dinner,4
4,27.28,Male,Yes,Fri,Dinner,2
1.5,12.03,Male,Yes,Fri,Dinner,2
3,21.01,Male,Yes,Fri,Dinner,2
1.5,12.46,Male,No,Fri,Dinner,2
2.5,11.35,Female,Yes,Fri,Dinner,2
3,15.38,Female,Yes,Fri,Dinner,2
2.5,44.3,Female,Yes,Sat,Dinner,3
3.48,22.42,Female,Yes,Sat,Dinner,2
4.08,20.92,Female,No,Sat,Dinner,2
1.64,15.36,Male,Yes,Sat,Dinner,2
4.06,20.49,Male,Yes,Sat,Dinner,2
4.29,25.21,Male,Yes,Sat,Dinner,2
3.76,18.24,Male,No,Sat,Dinner,2
4,14.31,Female,Yes,Sat,Dinner,2
3,14,Male,No,Sat,Dinner,2
1,7.25,Female,No,Sat,Dinner,1
4,38.07,Male,No,Sun,Dinner,3
2.55,23.95,Male,No,Sun,Dinner,2
4,25.71,Female,No,Sun,Dinner,3
3.5,17.31,Female,No,Sun,Dinner,2
5.07,29.93,Male,No,Sun,Dinner,4
1.5,10.65,Female,No,Thur,Lunch,2
1.8,12.43,Female,No,Thur,Lunch,2
2.92,24.08,Female,No,Thur,Lunch,4
2.31,11.69,Male,No,Thur,Lunch,2
1.68,13.42,Female,No,Thur,Lunch,2
2.5,14.26,Male,No,Thur,Lunch,2
2,15.95,Male,No,Thur,Lunch,2
2.52,12.48,Female,No,Thur,Lunch,2
4.2,29.8,Female,No,Thur,Lunch,6
1.48,8.52,Male,No,Thur,Lunch,2
2,14.52,Female,No,Thur,Lunch,2
2,11.38,Female,No,Thur,Lunch,2
2.18,22.82,Male,No,Thur,Lunch,3
1.5,19.08,Male,No,Thur,Lunch,2
2.83,20.27,Female,No,Thur,Lunch,2
1.5,11.17,Female,No,Thur,Lunch,2
2,12.26,Female,No,Thur,Lunch,2
3.25,18.26,Female,No,Thur,Lunch,2
1.25,8.51,Female,No,Thur,Lunch,2
2,10.33,Female,No,Thur,Lunch,2
2,14.15,Female,No,Thur,Lunch,2
2,16,Male,Yes,Thur,Lunch,2
2.75,13.16,Female,No,Thur,Lunch,2
3.5,17.47,Female,No,Thur,Lunch,2
6.7,34.3,Male,No,Thur,Lunch,6
5,41.19,Male,No,Thur,Lunch,5
5,27.05,Female,No,Thur,Lunch,6
2.3,16.43,Female,No,Thur,Lunch,2
1.5,8.35,Female,No,Thur,Lunch,2
1.36,18.64,Female,No,Thur,Lunch,3
1.63,11.87,Female,No,Thur,Lunch,2
1.73,9.78,Male,No,Thur,Lunch,2
2,7.51,Male,No,Thur,Lunch,2
2.5,14.07,Male,No,Sun,Dinner,2
2,13.13,Male,No,Sun,Dinner,2
2.74,17.26,Male,No,Sun,Dinner,3
2,24.55,Male,No,Sun,Dinner,4
2,19.77,Male,No,Sun,Dinner,4
5.14,29.85,Female,No,Sun,Dinner,5
5,48.17,Male,No,Sun,Dinner,6
3.75,25,Female,No,Sun,Dinner,4
2.61,13.39,Female,No,Sun,Dinner,2
2,16.49,Male,No,Sun,Dinner,4
3.5,21.5,Male,No,Sun,Dinner,4
2.5,12.66,Male,No,Sun,Dinner,2
2,16.21,Female,No,Sun,Dinner,3
2,13.81,Male,No,Sun,Dinner,2
3,17.51,Female,Yes,Sun,Dinner,2
3.48,24.52,Male,No,Sun,Dinner,3
2.24,20.76,Male,No,Sun,Dinner,2
4.5,31.71,Male,No,Sun,Dinner,4
1.61,10.59,Female,Yes,Sat,Dinner,2
2,10.63,Female,Yes,Sat,Dinner,2
10,50.81,Male,Yes,Sat,Dinner,3
3.16,15.81,Male,Yes,Sat,Dinner,2
5.15,7.25,Male,Yes,Sun,Dinner,2
3.18,31.85,Male,Yes,Sun,Dinner,2
4,16.82,Male,Yes,Sun,Dinner,2
3.11,32.9,Male,Yes,Sun,Dinner,2
2,17.89,Male,Yes,Sun,Dinner,2
2,14.48,Male,Yes,Sun,Dinner,2
4,9.6,Female,Yes,Sun,Dinner,2
3.55,34.63,Male,Yes,Sun,Dinner,2
3.68,34.65,Male,Yes,Sun,Dinner,4
5.65,23.33,Male,Yes,Sun,Dinner,2
3.5,45.35,Male,Yes,Sun,Dinner,3
6.5,23.17,Male,Yes,Sun,Dinner,4
3,40.55,Male,Yes,Sun,Dinner,2
5,20.69,Male,No,Sun,Dinner,5
3.5,20.9,Female,Yes,Sun,Dinner,3
2,30.46,Male,Yes,Sun,Dinner,5
3.5,18.15,Female,Yes,Sun,Dinner,3
4,23.1,Male,Yes,Sun,Dinner,3
1.5,15.69,Male,Yes,Sun,Dinner,2
4.19,19.81,Female,Yes,Thur,Lunch,2
2.56,28.44,Male,Yes,Thur,Lunch,2
2.02,15.48,Male,Yes,Thur,Lunch,2
4,16.58,Male,Yes,Thur,Lunch,2
1.44,7.56,Male,No,Thur,Lunch,2
2,10.34,Male,Yes,Thur,Lunch,2
5,43.11,Female,Yes,Thur,Lunch,4
2,13,Female,Yes,Thur,Lunch,2
2,13.51,Male,Yes,Thur,Lunch,2
4,18.71,Male,Yes,Thur,Lunch,3
2.01,12.74,Female,Yes,Thur,Lunch,2
2,13,Female,Yes,Thur,Lunch,2
2.5,16.4,Female,Yes,Thur,Lunch,2
4,20.53,Male,Yes,Thur,Lunch,4
3.23,16.47,Female,Yes,Thur,Lunch,3
3.41,26.59,Male,Yes,Sat,Dinner,3
3,38.73,Male,Yes,Sat,Dinner,4
2.03,24.27,Male,Yes,Sat,Dinner,2
2.23,12.76,Female,Yes,Sat,Dinner,2
2,30.06,Male,Yes,Sat,Dinner,3
5.16,25.89,Male,Yes,Sat,Dinner,4
9,48.33,Male,No,Sat,Dinner,4
2.5,13.27,Female,Yes,Sat,Dinner,2
6.5,28.17,Female,Yes,Sat,Dinner,3
1.1,12.9,Female,Yes,Sat,Dinner,2
3,28.15,Male,Yes,Sat,Dinner,5
1.5,11.59,Male,Yes,Sat,Dinner,2
1.44,7.74,Male,Yes,Sat,Dinner,2
3.09,30.14,Female,Yes,Sat,Dinner,4
2.2,12.16,Male,Yes,Fri,Lunch,2
3.48,13.42,Female,Yes,Fri,Lunch,2
1.92,8.58,Male,Yes,Fri,Lunch,1
3,15.98,Female,No,Fri,Lunch,3
1.58,13.42,Male,Yes,Fri,Lunch,2
2.5,16.27,Female,Yes,Fri,Lunch,2
2,10.09,Female,Yes,Fri,Lunch,2
3,20.45,Male,No,Sat,Dinner,4
2.72,13.28,Male,No,Sat,Dinner,2
2.88,22.12,Female,Yes,Sat,Dinner,2
2,24.01,Male,Yes,Sat,Dinner,4
3,15.69,Male,Yes,Sat,Dinner,3
3.39,11.61,Male,No,Sat,Dinner,2
1.47,10.77,Male,No,Sat,Dinner,2
3,15.53,Male,Yes,Sat,Dinner,2
1.25,10.07,Male,No,Sat,Dinner,2
1,12.6,Male,Yes,Sat,Dinner,2
1.17,32.83,Male,Yes,Sat,Dinner,2
4.67,35.83,Female,No,Sat,Dinner,3
5.92,29.03,Male,No,Sat,Dinner,3
2,27.18,Female,Yes,Sat,Dinner,2
2,22.67,Male,Yes,Sat,Dinner,2
1.75,17.82,Male,No,Sat,Dinner,2
3,18.78,Female,No,Thur,Dinner,2
